index,Job_Title,Rating,Company_Name,Year_Founded,Type_of_Ownership,Industry,Sector,Competitors,Revenue_USD_Low,Revenue_USD_High,Number_of_Employees_Low,Number_of_Employees_High,Headquarters_City,Headquarters_State/Country,Location_City,Location_State,Salary_Range_Low_Thousands_of_USD,Salary_Range_High_Thousands_of_USD,Excel_Skills,Python_Skills,Cloud_System_Skills,SQL_Skills,Tableau_Power_BI_Skills,ML_Skills,PhD,Skills_Sum
18,Data Analyst II,4.2,"Insight Enterprises, Inc.",1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,"CDW, PCM, SHI International",5,10_000_000_000,5001,10000,Tempe,AZ,Plano,TX,137,171,1,0,0,0,0,1,0,2
19,Medical Lab Scientist,3.5,Tower Health,2017,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,,5001,10000,Reading,PA,West Grove,PA,137,171,0,0,0,0,0,1,0,1
20,Data Scientist,3.2,Triplebyte,2015,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,San Francisco,CA,New York,NY,137,171,0,0,0,0,0,1,0,1
21,Data Scientist/Machine Learning,4.3,PulsePoint,2011,Company - Private,Internet,Information Technology,"Crossix Solutions Inc., AppNexus, The Trade Desk",100,500_000_000,51,200,New York,NY,New York,NY,137,171,0,1,0,0,0,1,1,3
22,Human Factors Scientist,3.5,Exponent,1967,Company - Public,Consulting,Business Services,,100,500_000_000,1001,5000,Menlo Park,CA,Phoenix,AZ,137,171,1,0,0,0,0,1,0,2
23,Business Intelligence Analyst I- Data Insights,3.5,Guardian Life,,Company - Private,Insurance Carriers,Insurance,Northwestern Mutual,5,10_000_000_000,5001,10000,New York,NY,Appleton,WI,137,171,0,0,0,0,0,1,0,1
24,Data Scientist,3.4,Spectrum Communications and Consulting,1992,Company - Private,Advertising & Marketing,Business Services,,10,25_000_000,51,200,Chicago,IL,Chicago,IL,137,171,0,0,0,1,0,1,0,2
25,Data Scientist,4.7,Oversight Systems,2003,Company - Private,Computer Hardware & Software,Information Technology,,25,50_000_000,51,200,Atlanta,GA,Atlanta,GA,137,171,1,1,0,1,0,1,0,4
26,Data Scientist - Risk,4.2,LSQ,1996,Company - Private,Investment Banking & Asset Management,Finance,,100,500_000_000,51,200,Orlando,FL,Orlando,FL,137,171,1,1,1,0,1,1,0,5
27,Data Scientist-Human Resources,3.8,MIT Lincoln Laboratory,1951,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,,,,1001,5000,Lexington,MA,Lexington,MA,137,171,0,1,0,1,0,1,0,3
28,Data Scientist,4.5,Kingfisher Systems,2005,Company - Private,Federal Agencies,Government,,25,50_000_000,51,200,Falls Church,VA,Mclean,VA,137,171,0,1,0,1,0,1,0,3
29,Data Scientist,2.8,Formation,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,51,200,San Francisco,CA,San Francisco,CA,137,171,1,0,0,0,0,1,0,2
30,Data Scientist,3.8,Analysis Group,1981,Company - Private,Consulting,Business Services,,100,500_000_000,1001,5000,Boston,MA,Boston,MA,75,131,1,1,1,0,1,1,1,6
31,Data Scientist / Machine Learning Expert,3.9,Novartis,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,Basel,Switzerland,Cambridge,MA,75,131,0,1,0,0,0,1,0,2
32,Data Scientist,5.0,Cohere Health,2019,Company - Private,IT Services,Information Technology,,,,1,50,Boston,MA,Boston,MA,75,131,1,1,0,1,0,1,0,4
33,Senior Research Statistician- Data Scientist,4.8,Acuity Insurance,,Company - Private,Insurance Carriers,Insurance,,1,2_000_000_000,1001,5000,Sheboygan,WI,Sheboygan,WI,75,131,0,0,0,0,0,1,1,2
34,Data Engineer,3.6,Chef,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Puppet, Ansible, SaltStack",50,100_000_000,201,500,Seattle,WA,United States,,75,131,1,0,1,1,1,1,0,5
35,Associate Data Scientist,3.3,Puget Sound Energy,1999,Company - Private,Utilities,"Oil, Gas, Energy & Utilities",,2,5_000_000_000,1001,5000,Bellevue,WA,Bothell,WA,75,131,1,0,0,1,0,1,0,3
36,Business Intelligence Analyst,2.7,Sandhills Global,1978,Company - Private,Enterprise Software & Network Solutions,Information Technology,,50,100_000_000,1001,5000,Lincoln,NE,Lincoln,NE,75,131,1,1,0,1,0,1,0,4
37,Data Scientist,2.7,A Place for Mom,2000,Company - Private,Health Care Services & Hospitals,Health Care,"Enlivant, Sunrise Senior Living, Brookdale Senior Living",,,501,1000,New York,NY,Overland Park,KS,75,131,1,1,1,1,1,1,0,6
38,Data Scientist,2.2,Great-Circle Technologies,2000,Company - Private,Enterprise Software & Network Solutions,Information Technology,,1,5_000_000,1,50,Chantilly,VA,Chantilly,VA,75,131,1,1,1,1,1,1,0,6
39,Senior Analyst/Data Scientist,3.4,Edmunds.com,1966,Company - Private,Internet,Information Technology,"TrueCar, Cars.com, Kelley Blue Book",100,500_000_000,501,1000,Santa Monica,CA,Santa Monica,CA,75,131,1,1,1,1,1,1,0,6
40,Data Analyst,3.1,"Cambridge Associates, LLC",1973,Company - Private,Investment Banking & Asset Management,Finance,,100,500_000_000,501,1000,Boston,MA,Boston,MA,75,131,1,1,0,1,0,1,0,4
41,Machine Learning Engineer,3.4,Liberty Mutual Insurance,,Company - Private,Insurance Carriers,Insurance,"Travelers, Allstate, State Farm",10_000_000_000,,10000,,Boston,MA,Portsmouth,NH,75,131,1,1,1,0,1,1,0,5
42,Data Analyst I,2.6,Cenlar,1958,Company - Private,,,,100,500_000_000,1001,5000,Ewing,NJ,Ewing,NJ,75,131,0,0,0,1,0,1,0,2
43,Scientist - Molecular Biology,5.0,Arsenal Biosciences,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,51,200,South San Francisco,CA,South San Francisco,CA,75,131,0,0,0,0,0,1,1,2
44,Data Scientist,4.2,Eversight,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,,10,25_000_000,51,200,Palo Alto,CA,Palo Alto,CA,75,131,0,1,0,0,0,1,0,2
45,"Computational Scientist, Machine Learning",4.1,Pfizer,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10_000_000_000,,10000,,New York,NY,Cambridge,MA,75,131,1,1,1,0,1,1,0,5
46,Senior Data Scientist,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,75,131,0,0,0,0,0,1,0,1
47,Data Scientist,3.3,Intellectual Ventures,2000,Company - Private,Investment Banking & Asset Management,Finance,,,,501,1000,Bellevue,WA,Bellevue,WA,75,131,1,1,0,0,0,1,0,3
48,Data Scientist,3.7,GovTech,2016,Government,Federal Agencies,Government,,,,1001,5000,Singapore,Singapore,San Francisco,CA,75,131,1,1,0,0,0,1,0,3
49,Data Scientist,4.3,Quick Base,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,201,500,Cambridge,MA,Cambridge,MA,75,131,1,1,0,1,0,1,0,4
50,Data Analyst,4.8,Giving Assistant,2014,Company - Private,Advertising & Marketing,Business Services,,10,25_000_000,1,50,San Francisco,CA,San Francisco,CA,75,131,1,1,0,1,0,1,0,4
51,Data Scientist,3.7,Takeda,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Novartis, Baxter, Pfizer",10_000_000_000,,10000,,Osaka,Japan,Cambridge,MA,75,131,0,1,0,1,0,1,1,4
52,Data Scientist,4.0,Netskope,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Skyhigh Networks, Zscaler, NortonLifeLock",,,501,1000,Santa Clara,CA,San Francisco,CA,75,131,1,1,0,0,0,1,1,4
53,Jr. Data Engineer,4.8,IT Concepts,2003,Company - Private,IT Services,Information Technology,,10,25_000_000,51,200,Vienna,VA,Remote,,75,131,1,0,0,1,0,1,0,3
54,E-Commerce Data Analyst,3.5,iSeatz,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,,,,51,200,New Orleans,LA,New Orleans,LA,75,131,1,0,0,1,0,1,0,3
55,Data Analytics Engineer,3.7,Summa Health System,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,100,500_000_000,5001,10000,Akron,OH,Akron,OH,75,131,1,0,1,0,1,1,0,4
56,Senior Data Scientist,3.5,Benson Hill,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,1,5_000_000,201,500,Saint Louis,MO,Saint Louis,MO,75,131,1,1,0,0,0,1,1,4
57,Product Data Scientist - Ads Data Science,4.1,Twitter,2006,Company - Public,Internet,Information Technology,"Facebook, Google, Pinterest",2,5_000_000_000,1001,5000,San Francisco,CA,San Francisco,CA,75,131,0,1,0,0,0,1,1,3
58,Data Scientist,3.2,Postmates - Corporate HQ,2011,Company - Private,Express Delivery Services,Transportation & Logistics,"DoorDash, Uber, Grubhub",,,1001,5000,San Francisco,CA,San Francisco,CA,75,131,0,1,0,1,0,1,0,3
59,Data Scientist - Intermediate,4.5,Envision LLC,1994,Company - Private,Staffing & Outsourcing,Business Services,,25,50_000_000,201,500,Saint Louis,MO,Saint Louis,MO,75,131,1,1,0,0,0,1,1,4
60,Data Analyst,3.8,Swiss Re,,Company - Public,Insurance Agencies & Brokerages,Insurance,"Munich Re, Hannover RE, SCOR",10_000_000_000,,10000,,Zurich,Switzerland,Fort Wayne,IN,75,131,1,1,0,1,0,1,0,4
61,Machine Learning Engineer,4.5,Systems & Technology Research,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,,100,500_000_000,201,500,Woburn,MA,Woburn,MA,75,131,1,1,0,0,0,1,1,4
62,Data Scientist,3.5,iRobot,1990,Company - Public,Consumer Electronics & Appliances Stores,Retail,,1,2_000_000_000,1001,5000,Bedford,MA,Bedford,MA,79,131,0,1,0,1,0,1,0,3
63,Data Scientist,4.2,HG Insights,2010,Company - Private,Computer Hardware & Software,Information Technology,,,,51,200,Santa Barbara,CA,Santa Barbara,CA,79,131,1,1,0,1,0,1,0,4
64,Global Data Analyst,3.8,Dermalogica,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,"IMAGE Skincare, Aveda, Kiehl's",100,500_000_000,201,500,Carson,CA,Carson,CA,79,131,1,0,0,1,0,1,0,3
65,Data Engineer,3.7,Bayview Asset Management,1995,Company - Private,Investment Banking & Asset Management,Finance,,100,500_000_000,1001,5000,Coral Gables,FL,Coral Gables,FL,79,131,0,1,0,1,0,1,0,3
66,Data Scientist,3.7,Via Transportation,2012,Company - Private,Internet,Information Technology,,,,501,1000,New York,NY,New York,NY,79,131,0,1,0,1,0,1,1,4
67,Data Scientist,4.0,Grid Dynamics,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Luxoft, EPAM, Capgemini Invent",50,100_000_000,1001,5000,San Ramon,CA,Santa Clara,CA,79,131,1,1,0,1,0,1,0,4
68,Data & Machine Learning Scientist,3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Chicago,IL,79,131,0,1,1,1,1,1,1,6
69,Data Scientist - Machine Learning,2.5,CareDx,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Sequenom,,,1,50,Brisbane,CA,Brisbane,CA,79,131,1,1,0,0,0,1,0,3
70,Data Engineer (Remote),4.2,IZEA,2006,Company - Public,Advertising & Marketing,Business Services,"Linqia, Collective Bias",25,50_000_000,51,200,Winter Park,FL,Winter Park,FL,79,131,1,1,1,1,1,1,0,6
71,"Data Scientist, Applied Machine Learning - Bay Area",3.3,Tempus Labs,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,501,1000,Chicago,IL,Redwood City,CA,79,131,0,1,1,1,1,1,0,5
72,Principal Data Scientist,4.0,Autodesk,1982,Company - Public,Computer Hardware & Software,Information Technology,,2,5_000_000_000,5001,10000,San Rafael,CA,San Francisco,CA,79,131,1,1,1,0,1,1,0,5
73,Business Data Analyst,3.7,Caterpillar,,Company - Public,Industrial Manufacturing,Manufacturing,"John Deere, Komatsu, CNH Industrial",10_000_000_000,,10000,,Deerfield,IL,Peoria,IL,79,131,1,0,0,1,0,1,0,3
74,Purification Scientist,4.9,New England Biolabs,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Thermo Fisher Scientific, Enzymatics, Illumina",,,201,500,Ipswich,MA,Ipswich,MA,79,131,0,0,0,0,0,1,0,1
75,Data Analyst,3.4,Allied Solutions,2001,Subsidiary or Business Segment,Insurance Agencies & Brokerages,Insurance,"CUNA Mutual, SWBC, Overby-Seawell",100,500_000_000,1001,5000,Carmel,IN,Carmel,IN,79,131,1,1,0,1,0,1,0,4
76,"Data Engineer, Enterprise Analytics",3.1,Healthfirst,1993,Nonprofit Organization,Insurance Carriers,Insurance,"EmblemHealth, UnitedHealth Group, Aetna",,,1001,5000,New York,NY,New York,NY,79,131,1,1,0,1,0,1,0,4
77,Data Scientist,3.5,The Knot Worldwide,2019,Company - Private,Internet,Information Technology,Zola Registry,,,1001,5000,Chevy Chase,MD,Washington,DC,79,131,0,1,1,0,1,1,0,4
78,Data Scientist,2.9,IFG Companies,1985,Company - Private,Insurance Carriers,Insurance,"Colony Specialty, Markel, RLI",,,201,500,Hartford,CT,New York,NY,79,131,0,1,0,1,0,1,0,3
79,Data Scientist 3 (718),3.3,Amyris,2003,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,100,500_000_000,201,500,Emeryville,CA,Emeryville,CA,79,131,0,1,1,0,1,1,0,4
80,"Real World Science, Data Scientist",4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,Gaithersburg,MD,79,131,0,1,0,1,0,1,1,4
81,Data Scientist,3.6,Powertek,2001,Company - Private,IT Services,Information Technology,,25,50_000_000,51,200,Rockville,MD,Washington,DC,79,131,0,0,0,0,0,1,0,1
82,Data Engineer,4.7,Object Partners,1996,Company - Private,Consulting,Business Services,"Solution Design Group, Intertech (Minnesota)",25,50_000_000,51,200,Minneapolis,MN,Saint Louis,MO,79,131,0,0,1,1,1,1,0,4
83,Data Scientist - Image and Video Analytics,4.9,The Mom Project,2016,Company - Private,Staffing & Outsourcing,Business Services,,,,1,50,Chicago,IL,Longmont,CO,79,131,0,1,1,0,1,1,1,5
84,Data Scientist,4.3,Lightspeed Systems,1999,Company - Private,Computer Hardware & Software,Information Technology,,25,50_000_000,51,200,Austin,TX,Austin,TX,79,131,0,1,1,1,1,1,0,5
85,"Data Science Manager, Payment Acceptance - USA",4.0,Stripe,2010,Company - Private,Internet,Information Technology,"Braintree, Authorize.Net, PayPal",,,1001,5000,San Francisco,CA,San Francisco,CA,79,131,0,1,0,1,0,1,1,4
86,Data Analyst,2.6,Comprehensive Healthcare,1971,Nonprofit Organization,Health Care Services & Hospitals,Health Care,,,,501,1000,Yakima,WA,Yakima,WA,79,131,0,0,0,0,0,0,0,0
87,Data Scientist / Applied Mathematician,4.5,"Fullpower Technologies, Inc.",2003,Company - Private,Computer Hardware & Software,Information Technology,,10,25_000_000,51,200,Santa Cruz,CA,Santa Cruz,CA,79,131,0,1,1,1,1,1,0,5
88,Machine Learning Engineer,4.8,Klaviyo,2012,Company - Private,Computer Hardware & Software,Information Technology,,,,201,500,Boston,MA,Boston,MA,79,131,0,1,0,0,0,1,0,2
89,Data Scientist,3.9,Mars,,Company - Private,Food & Beverage Manufacturing,Manufacturing,,10_000_000_000,,10000,,Mc Lean,VA,United States,,79,131,0,1,1,0,1,1,0,4
90,Patient Safety- Associate Data Scientist,4.0,AstraZeneca,,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,"Roche, GlaxoSmithKline, Novartis",10_000_000_000,,10000,,Cambridge,United Kingdom,Gaithersburg,MD,79,131,1,1,0,1,0,1,0,4
91,Machine Learning Engineer,4.4,NuWave Solutions,1999,Company - Private,IT Services,Information Technology,,5,10_000_000,51,200,Mc Lean,VA,Springfield,VA,79,131,0,1,1,1,1,1,0,5
92,Senior Data Scientist,4.2,ManTech,1968,Company - Public,Research & Development,Business Services,,1,2_000_000_000,5001,10000,Herndon,VA,Alexandria,VA,79,131,0,1,0,1,0,1,0,3
93,(Sr.) Data Scientist -,3.6,Merrick Bank,1997,Company - Private,Banks & Credit Unions,Finance,,,,201,500,South Jordan,UT,Utah,Utah,79,131,1,1,1,1,1,1,0,6
94,Data Scientist,3.4,Mathematica Policy Research,1986,Company - Private,Consulting,Business Services,,100,500_000_000,1001,5000,Princeton,NJ,Washington,DC,99,132,1,1,1,0,1,1,1,6
95,Staff Data Scientist - Analytics,4.4,Intuit - Data,1983,Company - Public,Computer Hardware & Software,Information Technology,"Square, PayPal, H&R Block",2,5_000_000_000,5001,10000,Mountain View,CA,San Diego,CA,99,132,0,0,0,0,0,0,0,0
96,Data Analytics Engineer,3.5,QOMPLX,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,,10,25_000_000,51,200,Reston,VA,Reston,VA,99,132,0,1,0,1,0,1,0,3
97,"Data Scientist, Kinship - NYC/Portland",3.9,Mars,,Company - Private,Food & Beverage Manufacturing,Manufacturing,,10_000_000_000,,10000,,Mc Lean,VA,New York,NY,99,132,0,1,0,0,0,1,0,2
98,Senior Data Scientist,3.8,GutCheck,2009,Company - Private,Advertising & Marketing,Business Services,"Nielsen, Zappi, SurveyMonkey",10,25_000_000,51,200,Denver,CO,Denver,CO,99,132,0,0,0,0,0,1,0,1
99,Applied Technology Researcher / Data Scientist,3.5,Inter-American Development Bank,1959,Other Organization,Banks & Credit Unions,Finance,"The World Bank, IMF",10_000_000_000,,10000,,Washington,DC,Washington,DC,99,132,1,0,0,0,0,1,0,2
100,Data Scientist,4.9,Avlino,2013,Company - Private,Enterprise Software & Network Solutions,Information Technology,,1,1_000_000,1,50,Holmdel,NJ,New Jersey,New Jersey,99,132,0,1,0,0,0,1,0,2
101,Machine Learning Engineer,4.4,Stratagem Group,2007,Company - Private,Aerospace & Defense,Aerospace & Defense,,,,1,50,Aurora,CO,Aurora,CO,99,132,1,1,1,1,1,1,0,6
102,Health Data Scientist - Biomedical/Biostats,4.1,Evidation,2012,Company - Private,Internet,Information Technology,,,,51,200,San Mateo,CA,Santa Barbara,CA,99,132,0,1,0,0,0,1,1,3
103,Senior Data Scientist,4.0,Autodesk,1982,Company - Public,Computer Hardware & Software,Information Technology,,2,5_000_000_000,5001,10000,San Rafael,CA,San Francisco,CA,99,132,0,1,0,1,0,1,1,4
104,Staff Data Scientist,4.4,Intuit - Data,1983,Company - Public,Computer Hardware & Software,Information Technology,"Square, PayPal, H&R Block",2,5_000_000_000,5001,10000,Mountain View,CA,San Diego,CA,99,132,0,0,0,0,0,0,0,0
105,Data Scientist,3.8,Tecolote Research,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,,50,100_000_000,501,1000,Goleta,CA,Hill Afb,UT,99,132,1,1,0,1,0,1,0,4
106,Sr Data Engineer (Sr BI Developer),3.2,Tivity Health,1981,Company - Public,Health Care Services & Hospitals,Health Care,,,,501,1000,Franklin,TN,Chandler,AZ,99,132,0,0,0,1,0,1,0,2
107,Data Engineer,2.9,hc1,2011,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,10,25_000_000,51,200,Indianapolis,IN,Indianapolis,IN,99,132,0,1,1,1,1,1,0,5
108,Lead Data Scientist,4.1,HP Inc.,1939,Company - Public,Computer Hardware & Software,Information Technology,,,,10000+,10000+,Palo Alto,CA,San Diego,CA,99,132,1,1,1,0,1,1,0,5
109,Data Scientist,3.7,SAIC,2013,Company - Public,Enterprise Software & Network Solutions,Information Technology,"Booz Allen Hamilton, CACI International",5,10_000_000,10000+,10000+,Reston,VA,Chantilly,VA,99,132,0,1,0,0,0,1,0,2
110,RFP Data Analyst,3.2,AllianceBernstein,1967,Company - Public,Investment Banking & Asset Management,Finance,,2,5_000_000_000,1001,5000,New York,NY,Nashville,TN,99,132,1,0,0,0,0,1,0,2
111,Data Analyst,4.9,Big Huge Games,2013,Subsidiary or Business Segment,Video Games,Media,,,,51,200,Lutherville Timonium,MD,Timonium,MD,99,132,1,0,0,1,0,1,0,3
112,Data Scientist (TS/SCI),3.5,Maxar Technologies,,Company - Public,Aerospace & Defense,Aerospace & Defense,,2,5_000_000_000,5001,10000,Westminster,CO,Herndon,VA,99,132,0,1,0,1,0,1,0,3
113,Data Engineer,5.0,Phantom AI,2016,Company - Private,Computer Hardware & Software,Information Technology,,,,1,50,Burlingame,CA,Burlingame,CA,99,132,0,1,0,0,0,1,0,2
114,Data Scientist,4.0,Noblis,1996,Nonprofit Organization,Consulting,Business Services,"Booz Allen Hamilton, SAIC, LMI",100,500_000_000,1001,5000,Reston,VA,Reston,VA,99,132,0,1,1,1,1,1,1,6
115,Data Scientist,3.6,Spring Health,2016,Company - Private,Health Care Services & Hospitals,Health Care,,,,1,50,New York,NY,New York,NY,99,132,1,1,0,1,0,1,0,4
116,Software Engineer - Data Science,4.0,ClearEdge,2002,Company - Private,Computer Hardware & Software,Information Technology,,5,10_000_000,51,200,Annapolis Junction,MD,Annapolis Junction,MD,99,132,1,1,0,0,0,1,0,3
117,Data Analyst/Engineer,3.2,AllianceBernstein,1967,Company - Public,Investment Banking & Asset Management,Finance,,2,5_000_000_000,1001,5000,New York,NY,Nashville,TN,99,132,1,1,0,1,0,1,0,4
118,NGS Scientist,5.0,Arsenal Biosciences,2019,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,,,,51,200,South San Francisco,CA,South San Francisco,CA,99,132,1,0,0,0,0,1,0,2
119,Data Engineer,4.8,GetWellNetwork,2000,Company - Private,Health Care Services & Hospitals,Health Care,"Epic, CipherHealth",50,100_000_000,201,500,Bethesda,MD,Bethesda,MD,99,132,0,1,0,1,0,1,0,3
120,Data Scientist,4.5,TACG Solutions,2006,Company - Private,Consulting,Business Services,"Copper River Shared Services, Chenega Corporation, Deloitte",,,51,200,Beavercreek,OH,Dayton,OH,99,132,1,1,0,1,0,1,0,4
121,Senior Data Engineer,4.7,Scoop,2015,Company - Private,Internet,Information Technology,,,,51,200,San Francisco,CA,San Francisco,CA,99,132,0,1,0,0,0,1,0,2
122,Senior Data Scientist,4.5,Novetta,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,"Leidos, CACI International, Booz Allen Hamilton",100,500_000_000,501,1000,Mc Lean,VA,Herndon,VA,99,132,1,1,1,0,1,1,0,5
123,Data Engineer,4.2,IZEA,2006,Company - Public,Advertising & Marketing,Business Services,"Linqia, Collective Bias",25,50_000_000,51,200,Winter Park,FL,Winter Park,FL,99,132,1,1,1,1,1,1,0,6
124,Business Intelligence Analyst,3.4,Montway Inc,2006,Company - Private,Shipping,Transportation & Logistics,,,,51,200,Schaumburg,IL,Schaumburg,IL,99,132,1,1,0,1,0,1,0,4
125,Sr. ML/Data Scientist - AI/NLP/Chatbot,3.8,Juniper Networks,1996,Company - Public,Telecommunications Services,Telecommunications,,2,5_000_000_000,5001,10000,Sunnyvale,CA,Cupertino,CA,99,132,1,1,1,0,1,1,1,6
126,Data Scientist,4.7,1904labs,2016,Company - Private,IT Services,Information Technology,"Slalom, Daugherty Business Solutions",,,51,200,Saint Louis,MO,Saint Louis,MO,90,109,0,1,0,1,0,1,0,3
